"sha256","kind","category","size_bytes","source_rel","dest_rel","reason"
"af42976f6bf4df35fbcadf48f2401db72673efc9cf25efe027b942f1821a1a3d","gnarly","text","230","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-html-module/src/test/resources/test-documents/testHTMLBadScript.html","gnarly/text/htmlbadscript.html","token:bad"
"ac9e9919f304cc078bb17095cc05dd53f03181a39daec40773db3b97f90719ba","gnarly","text","18","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-text-module/src/test/resources/test-documents/testIgnoreCharset.txt","gnarly/text/ignorecharset.txt","size:tiny"
"f743252de4eefdfe97c6438fb5f8bafbc82dc713acf463175642852378b5d572","gnarly","text","957","tika-server/tika-server-core/src/test/resources/test-documents/mock/encrypted_document_exception.xml","gnarly/text/mock_encry_encrypted_document_exception.xml","token:encrypted"
"80ac20e3bc813892a8af8490d1a56bd4afb4c61c10ff8aeb33e2cc28aeb47501","gnarly","text","1043","tika-server/tika-server-core/src/test/resources/test-documents/mock/null_pointer.xml","gnarly/text/mock_null_null_pointer.xml","token:null"
"582376df8cbc3cc2f253ee7e24ef822d104161ff5382949351b4dfc974b90685","gnarly","text","1114","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/mock/nothing_bad.xml","gnarly/text/nothing_bad.xml","token:bad"
"53eb13ee6ba85ec1dee149382a1fcd5171f0daa11c2077541cc0879e01bfc8b9","gnarly","text","1052","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/mock/null_pointer.xml","gnarly/text/null_pointer.xml","token:null"
"21b5874c23f25b3090ce5c11dc826821d5de53cf8ab525c6199c71702fd78e4f","gnarly","text","1015","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/mock/null_pointer_no_msg.xml","gnarly/text/null_pointer_no_msg.xml","token:null"
"4b7cbd32a251475097b417f66ee3d3777c666586d59004d0f5be9feeb0e98876","gnarly","text","24","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testODTnotaZipFile.odt","gnarly/text/odtnotazipfile.odt","size:tiny"
"b4b6cdc8278599c75bba039ee590217d4640004681586309898d502be67974e2","gnarly","text","8","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testPBM.pbm","gnarly/text/pbm.pbm","size:tiny"
"d593e0753bff236787114fb25ca665d50a43fd6472a32c1b5c7aca0372cc22bd","gnarly","text","7671","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testRTFCorruptListOverride.rtf","gnarly/text/rtfcorruptlistoverride.rtf","token:corrupt"
"62edff75ec50f4a5133fd88f7bb294a6a244c030953ca6be034dd717d69bf50e","gnarly","text","343","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-microsoft-module/src/test/resources/test-documents/testRTFInvalidUnicode.rtf","gnarly/text/rtfinvalidunicode.rtf","token:invalid"
